dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
EEG2,Model A (ResNet),features/layer1-0,occipital_parietal,1000000.0,0.5156146287918091,0.6623634447319974,0.2652679979801178,0.426729574900388,0.2603030886444077,0.12619647194595893
EEG2,Model A (ResNet),features/layer2-0,occipital_parietal,1000000.0,0.5615236163139343,0.7216841899583638,0.3174296021461487,0.5126442394458212,0.30026268467602873,0.14342929119874656
EEG2,Model A (ResNet),features/layer3-0,occipital_parietal,1000000.0,0.5707747936248779,0.73334603359836,0.33146610856056213,0.5349957263782419,0.3162943276888288,0.13639212708449475
EEG2,Model A (ResNet),features/layer3-10,occipital_parietal,1000000.0,0.5412167310714722,0.6952539261605994,0.29097872972488403,0.470092103779637,0.2942152919029231,0.12044786858603532
EEG2,Model A (ResNet),features/layer3-15,occipital_parietal,316227.7660168379,0.5205399990081787,0.6666652420985094,0.2789708375930786,0.4405557552152242,0.3045440620927961,0.0964488318241754
EEG2,Model A (ResNet),features/layer3-20,occipital_parietal,316227.7660168379,0.5129652619361877,0.6568287673417684,0.26922401785850525,0.42405279871148815,0.293507587017789,0.09150204476115664
EEG2,Model A (ResNet),features/layer3-25,occipital_parietal,316227.7660168379,0.5016357898712158,0.642267557683744,0.2544344365596771,0.39934612293047783,0.2855227768861102,0.08409748735478435
EEG2,Model A (ResNet),features/layer3-30,occipital_parietal,1000000.0,0.532700777053833,0.6847327647025573,0.2755005955696106,0.44632554801813695,0.28201720748488057,0.1128303617122335
EEG2,Model A (ResNet),features/layer3-5,occipital_parietal,1000000.0,0.5443776845932007,0.6992309696223175,0.30028948187828064,0.4841095920020981,0.31158329065043244,0.12269119202470799
EEG2,Model A (ResNet),features/layer4-1,occipital_parietal,1000000.0,0.5120738744735718,0.6582917673222419,0.25820812582969666,0.41729914924920314,0.23541378795047616,0.10101518782840832
EEG2,Model B (Qwen3),features/language_model-layers-11,occipital_parietal,316227.7660168379,0.4226168394088745,0.5417672068165715,0.1728041172027588,0.26988798521829876,0.16494939068039027,0.056736465706054506
EEG2,Model B (Qwen3),features/language_model-layers-16,occipital_parietal,316227.7660168379,0.39298123121261597,0.5026253264998298,0.13857828080654144,0.20970442114546292,0.15253790849394877,0.04405967377802538
EEG2,Model B (Qwen3),features/language_model-layers-3,occipital_parietal,316227.7660168379,0.4319794476032257,0.55219669031856,0.1770111322402954,0.2713420434604072,0.16736887264922887,0.06029015367508359
EEG2,Model B (Qwen3),features/language_model-layers-8,occipital_parietal,316227.7660168379,0.43363115191459656,0.5547580489537415,0.1820211261510849,0.28157265858465036,0.1551388540306724,0.061353327103344894
EEG2,Model B (Qwen3),features/visual-blocks-10,occipital_parietal,100000.0,0.47476309537887573,0.609315121802492,0.20370349287986755,0.31605599376558535,0.2026898796776144,0.0642806519997575
EEG2,Model B (Qwen3),features/visual-blocks-14,occipital_parietal,100000.0,0.43963804841041565,0.5639414614309844,0.16434235870838165,0.2502397159734522,0.17910747174830727,0.05978808711582271
EEG2,Model B (Qwen3),features/visual-blocks-18,occipital_parietal,316227.7660168379,0.41008853912353516,0.5265209650304437,0.16292184591293335,0.2573903067030652,0.15487943062679635,0.0532716314662143
EEG2,Model B (Qwen3),features/visual-blocks-2,occipital_parietal,316227.7660168379,0.5282750129699707,0.6778974912909186,0.2882906198501587,0.4607241795888518,0.2864097636232416,0.11154304501152164
EEG2,Model B (Qwen3),features/visual-blocks-22,occipital_parietal,1000000.0,0.4069788455963135,0.525008656030472,0.15218104422092438,0.2478438157502334,0.1342965078406477,0.06220833952304096
EEG2,Model B (Qwen3),features/visual-blocks-6,occipital_parietal,316227.7660168379,0.5622309446334839,0.7229494292978283,0.3240530490875244,0.5221859313405702,0.3163396196562163,0.12209851374882717
