dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
TVSD,Model A (ResNet),features/layer4-1,monkeyN/IT,100000.0,0.6713665311741445,0.6859698144772546,0.4247282953819549,0.4410158025209055,0.47625895885273994,0.7169889216766312
TVSD,Model A (ResNet),features/layer4-1,monkeyN/V1,100000.0,0.5966035596196563,0.6046243266214588,0.34592953728980025,0.3550793151357308,0.27348404184480046,0.6013314597522874
TVSD,Model A (ResNet),features/layer4-1,monkeyN/V4,100000.0,0.6098744080467224,0.6231685100088783,0.35711003589108,0.37190811359223247,0.4585390343864579,0.5592098666036411
TVSD,Model B (Qwen3),features/language_model-layers-11,monkeyF/IT,100000.0,0.530664244294215,0.5491898570670224,0.24483537805026326,0.2588954135240991,0.5157309123300591,0.5334620907288794
TVSD,Model B (Qwen3),features/language_model-layers-11,monkeyF/V1,100000.0,0.402218764371217,0.4129229221243402,0.13822979177313782,0.14281764202655217,0.15737671803858191,0.34922050954852457
TVSD,Model B (Qwen3),features/language_model-layers-11,monkeyF/V4,100000.0,0.49174837641923475,0.5006945956355889,0.22624042821703222,0.23264332023496387,0.33318889982807404,0.4951354879176708
TVSD,Model B (Qwen3),features/language_model-layers-11,monkeyN/IT,100000.0,0.5883853616346637,0.6004176695386548,0.31096481699637996,0.319905977838174,0.30673883474151553,0.5835066562508225
TVSD,Model B (Qwen3),features/language_model-layers-11,monkeyN/V1,100000.0,0.47692027486854877,0.4830161732508432,0.20873563563368988,0.2136124639036868,0.16750937662861787,0.446228016352456
TVSD,Model B (Qwen3),features/language_model-layers-11,monkeyN/V4,100000.0,0.5321927556108587,0.5437569984088612,0.2648892877378409,0.2753409057130392,0.37551727655751893,0.45675502307640564
TVSD,Model B (Qwen3),features/language_model-layers-16,monkeyF/IT,100000.0,0.5213611986997642,0.5393691919093453,0.23770260091047923,0.2514209885379022,0.506779103287185,0.5180789379514703
TVSD,Model B (Qwen3),features/language_model-layers-16,monkeyF/V1,100000.0,0.39513818168913867,0.40564236350662625,0.13319017898573524,0.13780847741547322,0.1597436694852301,0.3372220993742287
TVSD,Model B (Qwen3),features/language_model-layers-16,monkeyF/V4,100000.0,0.48353848415004336,0.492376599679464,0.21800850081998394,0.2244915159004309,0.3337761831039059,0.4664185833524603
